c_name,c_email_id,c_type,c_addr,e_name,e_designation,e_addr,e_branch,start_date,end_date,amount,payment_status,payment_mode,payment_date,sh_content,sh_domain,ser_type,sh_weight,sh_charges,sr_addr,ds_addr,current_status,sent_date,delivery_date
Chelsey,Benita200@yahoo.co.in,Internal Goods,CALIFORNIA ST / FILLMORE ST,Benita,Director,4800 Block of GEARY BL,MA,29-01-1986,08-04-1989,62151,NOT PAID,COD,,Electronics,International,Express,607,1007,1100 Block of POLK ST,800 Block of OFARRELL ST,NOT DELIVERED,02-09-2013,
Catherine,John780@yahoo.com,Retail,1700 Block of STEINER ST,John,Block development manager,1100 Block of SUNNYDALE AV,WA,25-03-2005,29-09-2023,84665,NOT PAID,COD,,Automotive,International,Regular,242,926,16TH ST / UTAH ST,400 Block of CASTRO ST,NOT DELIVERED,3/21/1978,
Lucien,Jan805@ymail.com,Internal Goods,700 Block of PERU AV,Jan,Assistant manager,300 Block of CHATTANOOGA ST,OR,15-01-2001,29-12-2006,1760,PAID,COD,23-08-1995,Industrial Equipments,International,Express,593,1036,100 Block of GOLDEN GATE AV,800 Block of MISSION ST,DELIVERED,01-05-1995,8/23/1995
Aidan,Robert988@google.co.in,Internal Goods,100 Block of OAK ST,Robert,Market analyst,ELIZABETH ST / DIAMOND ST,VA,17-11-1985,08-11-1998,30239,PAID,COD,31-01-1985,Electronics,Domestic,Express,812,1161,1500 Block of POLK ST,600 Block of KANSAS ST,DELIVERED,01-10-1985,1/31/1985
Tomeka,Kaitlyn60@yahoo.com,Wholesale,HOWARD ST / 3RD ST,Kaitlyn,Material handling executive,1400 Block of BAKER ST,NC,04-11-1976,14-12-1990,20194,PAID,COD,20-10-2006,Hazardous Goods,Domestic,Express,833,1016,POLK ST / SUTTER ST,1200 Block of NOE ST,DELIVERED,8/28/2006,10/20/2006
Theresa,Stephan274@yahoo.co.in,Internal Goods,1300 Block of MISSION ST,Stephan,Fleet manager,1600 Block of FOLSOM ST,WV,07-06-1990,23-04-2001,58470,PAID,COD,17-10-1989,Healthcare,International,Express,872,1058,100 Block of BREWSTER ST,900 Block of MARKET ST,DELIVERED,10-12-1989,10/17/1989
Korie,Emma964@gmail.com,Retail,400 Block of ELLIS ST,Emma,Transport manager,300 Block of PRAGUE ST,CA,23-05-2014,05-10-2016,91926,NOT PAID,COD,,Arts and crafts,Domestic,Regular,483,648,0 Block of TURK ST,900 Block of CAPITOL AV,NOT DELIVERED,05-03-1980,
Misael,Monica700@gmail.com,Retail,4900 Block of MISSION ST,Monica,Executive director,400 Block of BAY ST,IL,14-08-2008,07-11-2024,34797,PAID,COD,16-03-1980,Fashion,International,Regular,679,1015,1700 Block of SUNNYDALE AV,400 Block of BAKER ST,DELIVERED,03-01-1980,3/16/1980
Steven,Pamala451@outlook.com,Retail,16TH ST / SHOTWELL ST,Pamala,Warehouse manager,1600 Block of THE EMBARCADERONORTH ST,AZ,26-09-2002,20-06-2016,19346,NOT PAID,COD,,Hazardous Goods,International,Express,318,938,SOUTH VAN NESS AV / 13TH ST,100 Block of LELAND AV,NOT DELIVERED,1/15/1994,
Tammi,Matt620@yahoo.com,Wholesale,700 Block of STANYAN ST,Matt,Sales manager,1100 Block of FITZGERALD AV,WA,25-11-2013,10-10-2029,35185,NOT PAID,COD,,Home Furnishing,Domestic,Express,329,597,22ND ST / CAROLINA ST,2600 Block of FOLSOM ST,NOT DELIVERED,1/25/2017,
Rayburn,Kristie659@hotmail.com,Retail,1400 Block of SACRAMENTO ST,Kristie,Delivery Boy,4600 Block of 18TH ST,VA,20-06-1986,17-04-1996,7068,NOT PAID,CARD PAYMENT,,Luggage,Domestic,Regular,588,1182,POWELL ST / GEARY ST,3RD ST / PALOU AV,NOT DELIVERED,04-01-1975,
Gordon,Lee224@ymail.co.in,Wholesale,HARRISON ST / 6TH ST,Lee,In House logistics executive,0 Block of MAIDEN LN,VA,08-04-1985,16-01-1993,96496,PAID,CARD PAYMENT,09-08-1987,Food and Beverages,International,Regular,442,713,2500 Block of MISSION ST,2600 Block of 34TH AV,DELIVERED,03-06-1987,08-09-1987
Zakariya,Roger478@ymail.co.in,Retail,LAWTON ST / 10TH AV,Roger,Technical support executive,100 Block of KISKA RD,SD,25-05-1997,27-06-2016,2988,PAID,CARD PAYMENT,11-09-1990,Hazardous Goods,Domestic,Express,216,939,600 Block of VALENCIA ST,500 Block of 9TH ST,DELIVERED,2/21/1990,09-11-1990
Otis,Zoya623@gmail.com,Retail,0 Block of URANUS TR,Zoya,Transport manager,400 Block of MASON ST,TN,18-11-1981,21-12-1993,83253,PAID,COD,17-09-1989,Construction,Domestic,Express,946,1082,300 Block of OFARRELL ST,0 Block of RAE AV,DELIVERED,01-06-1989,9/17/1989
Curtis,Robert627@yahoo.co.in,Retail,300 Block of HYDE ST,Robert,Inventory manager,1200 Block of HAIGHT ST,ID,13-09-1994,01-07-2005,87828,PAID,COD,09-09-2014,Luggage,International,Express,796,1347,1700 Block of FULTON ST,100 Block of GOLDEN GATE AV,DELIVERED,6/29/2014,09-09-2014
Gabrielle,Danny201@yahoo.com,Retail,1100 Block of SUTTER ST,Danny,Branch manager,800 Block of ELLIS ST,MS,18-03-1994,17-12-2009,17035,PAID,COD,12-06-1997,Arts and crafts,Domestic,Regular,26,47,DIVISADERO ST / JACKSON ST,0 Block of DESOTO ST,DELIVERED,01-05-1997,06-12-1997
Dani,Ryker409@gmail.com,Retail,1900 Block of PALOU AV,Ryker,Branch manager,800 Block of BRYANT ST,CO,20-03-1977,26-03-1995,426,NOT PAID,COD,,Automotive,Domestic,Express,490,762,SILLIMAN ST / BOWDOIN ST,200 Block of LEAVENWORTH ST,NOT DELIVERED,7/23/1981,
Sadie,Zelda490@yahoo.co.in,Retail,17TH ST / CAPP ST,Zelda,Inventory manager,2300 Block of VICENTE ST,OH,15-10-2005,08-07-2009,20238,PAID,COD,30-03-1977,Home Furnishing,Domestic,Regular,430,642,2300 Block of CHESTNUT ST,LAKE MERCED BL / SUNSET BL,DELIVERED,3/26/1977,3/30/1977
Emma,David957@ymail.com,Internal Goods,100 Block of LEAVENWORTH ST,David,Inventory manager,MISSION ST / RUSSIA AV,VA,11-03-1974,24-11-1983,68331,PAID,CARD PAYMENT,29-10-1982,Arts and crafts,Domestic,Express,209,665,500 Block of VALENCIA ST,6TH ST / STEVENSON ST,DELIVERED,06-10-1982,10/29/1982
Eddie,Jacquelin945@yahoo.com,Internal Goods,MARKET ST / POWELL ST,Jacquelin,In House logistics executive,DOLORES ST / 30TH ST,VA,02-10-2018,07-12-2038,86132,PAID,CARD PAYMENT,01-03-2019,Automotive,International,Express,379,963,800 Block of 47TH AV,0 Block of LURLINE ST,DELIVERED,03-03-2019,03-01-2019
Connie,Ardis505@ymail.com,Retail,SPEAR ST / MARKET ST,Ardis,Delivery Boy,1000 Block of POTRERO AV,VA,25-07-2002,03-11-2014,766,NOT PAID,CARD PAYMENT,,Industrial Equipments,Domestic,Regular,949,1419,KEITH ST / THOMAS AV,100 Block of CAPP ST,NOT DELIVERED,8/27/1997,
Ricky,Scott41@hotmail.com,Retail,VANNESS AV / CALIFORNIA ST,Scott,Chief executive officer,17TH ST / SHOTWELL ST,NC,15-08-1982,25-04-1993,13169,NOT PAID,COD,,Electronics,Domestic,Express,438,656,LYON ST / OFARRELL ST,1200 Block of NOE ST,NOT DELIVERED,1/28/1979,
Patrick,Alexia131@outlook.com,Wholesale,100 Block of JONES ST,Alexia,Manager,200 Block of LOWELL ST,NH,13-12-2004,03-08-2006,48657,PAID,COD,26-10-2004,Food and Beverages,International,Express,726,1381,0 Block of HARRISON ST,1200 Block of GOLDEN GATE AV,DELIVERED,10/29/2004,10/26/2004
Annie,Donnell940@ymail.co.in,Wholesale,0 Block of FREMONT ST,Donnell,Inventory manager,2400 Block of MISSION ST,NY,29-04-2012,22-01-2023,88037,NOT PAID,CARD PAYMENT,,Home Furnishing,Domestic,Express,451,713,0 Block of 6TH ST,1400 Block of RANKIN ST,NOT DELIVERED,9/28/2004,
Elvia,Trent560@google.co.in,Retail,300 Block of 14TH ST,Trent,Marketing manager,0 Block of AUGUST AL,OR,07-10-1993,11-03-2002,21972,PAID,CARD PAYMENT,11-08-2013,Luggage,Domestic,Regular,812,1104,1800 Block of DONNER AV,19TH AV / LINCOLN WY,DELIVERED,01-12-2013,08-11-2013
Laurette,Gerald85@google.co.in,Retail,HAROLD AV / BRUCE AV,Gerald,Material handling executive,MISSION ST / FAIR AV,WV,11-07-2003,09-07-2011,87886,NOT PAID,COD,,Healthcare,International,Regular,240,571,800 Block of INGERSON AV,MISSION ST / 2ND ST,NOT DELIVERED,6/17/2012,
Austin,Zakariya835@yahoo.com,Retail,600 Block of TOWNSEND ST,Zakariya,Engineering department manager,300 Block of CAPP ST,IL,07-09-1979,27-05-1982,3244,PAID,CARD PAYMENT,27-04-2010,Arts and crafts,Domestic,Regular,982,1405,1300 Block of REVERE AV,0 Block of WILLIAR AV,DELIVERED,01-12-2010,4/27/2010
Willie,Artie206@ymail.com,Internal Goods,0 Block of POWELL ST,Artie,Delivery Boy,3500 Block of FILLMORE ST,GA,11-11-2013,22-09-2022,32031,PAID,COD,01-11-1992,Automotive,Domestic,Express,954,1473,0 Block of DORE ST,100 Block of TURK ST,DELIVERED,08-11-1992,11-01-1992
Diana,Ryan128@yahoo.com,Retail,1200 Block of IRVING ST,Ryan,Block development manager,0 Block of JONES ST,FL,10-08-1975,30-06-1986,51284,NOT PAID,CARD PAYMENT,,Hazardous Goods,Domestic,Regular,35,20,1200 Block of THE EMBARCADERONORTH ST,500 Block of BRANNAN ST,NOT DELIVERED,12/21/2018,
Amelia,Albertha398@ymail.com,Retail,TARAVAL ST / 48TH AV,Albertha,Assistant manager,1000 Block of VANNESS AV,NC,02-12-2008,24-03-2026,23055,PAID,CARD PAYMENT,08-06-2011,Electronics,Domestic,Express,148,835,PIERCE ST / LOMBARD ST,8TH AV / CLEMENT ST,DELIVERED,4/22/2011,06-08-2011
Dennis,Carolyn538@yahoo.co.in,Internal Goods,7TH ST / MISSION ST,Carolyn,Market analyst,100 Block of SANJUAN AV,NY,08-10-1974,09-07-1988,94926,PAID,CARD PAYMENT,02-12-2003,Food and Beverages,International,Regular,422,651,1700 Block of NEWCOMB AV,1500 Block of LASALLE AV,DELIVERED,10/25/2003,12-02-2003
Paige,Ilana40@ymail.co.in,Retail,EDDY ST / DIVISADERO ST,Ilana,Office manager,900 Block of GRANT AV,MI,02-01-1971,13-09-1982,312,NOT PAID,COD,,Home Furnishing,Domestic,Express,275,653,2300 Block of 25TH AV,HOLLYPARK CR / MURRAY ST,NOT DELIVERED,02-08-2012,
Lydia,Christa254@gmail.com,Wholesale,EDDY ST / JONES ST,Christa,Market analyst,0 Block of HANCOCK ST,NJ,19-04-2008,19-08-2021,45852,PAID,COD,30-08-2018,Healthcare,Domestic,Regular,367,740,2000 Block of MISSION ST,2400 Block of SAN BRUNO AV,DELIVERED,3/14/2018,8/30/2018
Kandace,Bobby84@yahoo.com,Internal Goods,2100 Block of POLK ST,Bobby,Head of marketing,700 Block of MISSION ST,KS,01-08-2013,08-06-2024,77063,PAID,CARD PAYMENT,09-03-2013,Industrial Equipments,International,Express,507,1334,1100 Block of CONNECTICUT ST,1700 Block of 22ND AV,DELIVERED,3/19/2013,03-09-2013
Tianna,Laurence971@yahoo.co.in,Internal Goods,SANSOME ST / CHESTNUT ST,Laurence,Head of marketing,2900 Block of JACKSON ST,SD,15-01-2006,04-03-2020,44299,PAID,COD,21-06-2013,Automotive,International,Regular,442,770,1000 Block of POTRERO AV,0 Block of LEAVENWORTH ST,DELIVERED,4/23/2013,6/21/2013
Roxanne,Trevon752@yahoo.co.in,Retail,1500 Block of HUDSON AV,Trevon,Sales manager,1100 Block of MARKET ST,NM,24-06-2010,03-11-2029,67123,PAID,COD,03-07-1991,Arts and crafts,International,Regular,510,1205,500 Block of 41ST AV,500 Block of GUERRERO ST,DELIVERED,02-10-1991,07-03-1991
Hellen,Jason341@yahoo.com,Retail,1200 Block of MCALLISTER ST,Jason,Material handling executive,1600 Block of INDIANA ST,IN,11-11-2013,31-07-2022,51104,NOT PAID,COD,,Fashion,International,Regular,117,716,700 Block of MARKET ST,ELLIS ST / HYDE ST,NOT DELIVERED,10-04-1976,
Zoie,Ramona899@yahoo.com,Retail,16TH ST / MISSION ST,Ramona,Project director,FULTON ST / 5TH AV,NH,14-05-2010,23-07-2017,35369,NOT PAID,CARD PAYMENT,,Construction,Domestic,Express,973,1250,0 Block of CASTLEMANOR AV,LANE ST / REVERE AV,NOT DELIVERED,10/25/1987,
George,Harvey871@ymail.co.in,Retail,2200 Block of 14TH AV,Harvey,Transport manager,200 Block of LAKEVIEW AV,DC,20-09-1998,29-10-2018,559,PAID,CARD PAYMENT,25-05-1974,Food and Beverages,Domestic,Regular,243,935,GEARY ST / HYDE ST,1200 Block of MARKET ST,DELIVERED,3/26/1974,5/25/1974
Genesis,Ericka392@hotmail.com,Wholesale,GOLDEN GATE AV / FILLMORE ST,Ericka,Marketing manager,1000 Block of MARKET ST,TX,20-11-2000,13-12-2008,13394,NOT PAID,CARD PAYMENT,,Luggage,Domestic,Express,715,1185,2000 Block of MISSION ST,500 Block of 39TH AV,NOT DELIVERED,5/18/2014,
Reymundo,Scott810@ymail.co.in,Internal Goods,3000 Block of 23RD ST,Scott,Sales manager,DAVIS ST / CLAY ST,IL,20-04-1980,18-04-1986,51472,PAID,CARD PAYMENT,20-05-1975,Healthcare,Domestic,Express,571,1031,700 Block of STANYAN ST,600 Block of MISSION ST,DELIVERED,5/18/1975,5/20/1975
Boyd,Shirley751@gmail.com,Retail,1500 Block of MCALLISTER ST,Shirley,Transport manager,200 Block of INTERSTATE80 HY,TX,21-05-2017,15-12-2023,99367,PAID,COD,15-09-2005,Industrial Equipments,Domestic,Express,369,646,300 Block of ATHENS ST,1400 Block of CLAY ST,DELIVERED,3/20/2005,9/15/2005
Janelle,Nevaeh593@outlook.com,Internal Goods,OAK ST / FILLMORE ST,Nevaeh,Project director,FITZGERALD AV / GRIFFITH ST,CO,02-04-1994,16-01-2004,98982,NOT PAID,CARD PAYMENT,,Industrial Equipments,International,Regular,318,980,5600 Block of DIAMONDHEIGHTS BL,100 Block of ELLIOT ST,NOT DELIVERED,10-03-2018,
Bryn,Rayburn250@yahoo.co.in,Retail,JOHNFKENNEDY DR / TRANSVERSE DR,Rayburn,Sales manager,LEAVENWORTH ST / ELLIS ST,TX,29-09-1977,10-01-1987,47111,NOT PAID,COD,,Food and Beverages,Domestic,Regular,266,833,2000 Block of MISSION ST,4600 Block of IRVING ST,NOT DELIVERED,9/25/2013,
Eriana,Rayburn258@gmail.com,Retail,MISSION ST / 20TH ST,Rayburn,Manager,400 Block of JONES ST,CA,22-01-2011,11-10-2016,87420,NOT PAID,COD,,Home Furnishing,International,Regular,60,166,200 Block of TURK ST,0 Block of ANKENY ST,NOT DELIVERED,07-09-1993,
Bayley,Sharyn974@ymail.co.in,Retail,900 Block of HAYES ST,Sharyn,Fleet manager,MISSION ST / 24TH ST,CA,02-09-1977,18-03-1979,59376,NOT PAID,COD,,Luggage,International,Express,121,557,NATOMA ST / 2ND ST,3500 Block of MISSION ST,NOT DELIVERED,5/29/1997,
Chasity,Leslie740@ymail.co.in,Internal Goods,600 Block of PAGE ST,Leslie,Manager,RUSSIA AV / ATHENS ST,IL,04-11-2007,06-01-2025,41003,NOT PAID,CARD PAYMENT,,Automotive,International,Express,876,1045,1600 Block of DONNER AV,800 Block of LARKIN ST,NOT DELIVERED,2/29/2004,
Dejon,Ericka359@ymail.com,Internal Goods,0 Block of WAVERLY PL,Ericka,IT support executive,BRANNAN ST / 9TH ST,SC,12-04-1988,22-07-2002,58511,NOT PAID,CARD PAYMENT,,Industrial Equipments,Domestic,Regular,946,1100,400 Block of ELLIS ST,800 Block of MOSCOW ST,NOT DELIVERED,8/31/2001,
Sydney,Curtis682@hotmail.com,Internal Goods,MARKET ST / 3RD ST,Curtis,Sales manager,200 Block of ASHBURY ST,IL,24-01-1988,21-06-2007,52868,PAID,COD,22-07-1983,Hazardous Goods,Domestic,Regular,654,1150,100 Block of LEAVENWORTH ST,100 Block of PERSIA AV,DELIVERED,1/28/1983,7/22/1983
Bernadine,Alessia799@hotmail.com,Internal Goods,1000 Block of CONNECTICUT ST,Alessia,Fleet manager,1200 Block of THE EMBARCADERONORTH ST,CA,09-08-2008,12-06-2010,8206,PAID,CARD PAYMENT,21-09-2016,Construction,Domestic,Express,74,281,100 Block of POWELL ST,0 Block of TAYLOR ST,DELIVERED,9/23/2016,9/21/2016
Julianna,Bridgett374@yahoo.com,Internal Goods,800 Block of NORTHPOINT ST,Bridgett,Warehouse in charge,100 Block of OFARRELL ST,MS,24-04-1972,12-03-1982,48873,NOT PAID,CARD PAYMENT,,Construction,Domestic,Regular,630,1062,1600 Block of 39TH AV,PARNASSUS AV / CLAYTON ST,NOT DELIVERED,9/29/2017,
Gwendolyn,Kelly848@hotmail.com,Wholesale,100 Block of 3RD ST,Kelly,Project director,0 Block of BRADY ST,IL,06-09-1982,11-06-1995,22214,NOT PAID,CARD PAYMENT,,Healthcare,Domestic,Express,782,1425,MARKET ST / CHURCH ST,LOMBARD ST / LEAVENWORTH ST,NOT DELIVERED,01-01-1996,
Maurice,Francis214@hotmail.com,Wholesale,100 Block of TURQUOISE WY,Francis,Project director,ANZA ST / SPRUCE ST,NY,23-03-1982,13-04-1997,806,NOT PAID,COD,,Luggage,International,Regular,45,39,100 Block of UPPER TR,POST ST / HYDE ST,NOT DELIVERED,9/14/2008,
Muriel,Stephania835@gmail.com,Wholesale,1100 Block of SUTTER ST,Stephania,Warehouse manager,1600 Block of HAIGHT ST,GA,04-06-1999,24-12-2015,27590,PAID,CARD PAYMENT,09-01-2006,Luggage,International,Express,916,1143,300 Block of SALINAS AV,1900 Block of FILLMORE ST,DELIVERED,01-08-2006,01-09-2006
Marie,Zella692@yahoo.co.in,Wholesale,900 Block of GEARY ST,Zella,Non-executive director,FRANKLIN ST / GOLDEN GATE AV,WV,15-12-1976,15-12-1978,5769,NOT PAID,CARD PAYMENT,,Hazardous Goods,International,Express,274,669,0 Block of GOLDEN GATE AV,900 Block of MARIPOSA ST,NOT DELIVERED,2/24/2016,
Holli,Tiffany386@ymail.com,Wholesale,HAIGHT ST / MARKET ST,Tiffany,Assistant manager,JACKSON ST / GRANT AV,OH,27-11-1973,16-10-1981,38290,PAID,COD,12-09-1979,Arts and crafts,Domestic,Regular,987,1134,MINNA ST / 5TH ST,MARKET ST / 5TH ST,DELIVERED,1/20/1979,09-12-1979
Rory,Bernard448@google.co.in,Internal Goods,MISSION ST / RUSSIA AV,Bernard,HR manager,JONES ST / STEVELOE PL,MN,07-09-1973,14-10-1976,44807,PAID,CARD PAYMENT,20-10-2002,Arts and crafts,International,Regular,434,558,200 Block of MISSOURI ST,900 Block of ELLSWORTH ST,DELIVERED,02-03-2002,10/20/2002
Miley,Parth128@gmail.com,Retail,19TH ST / YORK ST,Parth,Chief executive officer,1400 Block of WASHINGTON ST,LA,03-10-1984,16-03-1991,11223,PAID,COD,15-09-2005,Electronics,International,Express,897,1313,100 Block of EDDY ST,1400 Block of KIRKWOOD CT,DELIVERED,4/16/2005,9/15/2005
Trey,Arlene95@ymail.co.in,Retail,GEARY ST / STOCKTON ST,Arlene,Warehouse in charge,15TH AV / SHELDON TR,CA,15-01-2006,28-07-2024,85889,PAID,COD,11-09-1998,Automotive,International,Regular,442,595,0 Block of UNITEDNATIONS PZ,200 Block of HAHN ST,DELIVERED,2/21/1998,09-11-1998
Debora,Ronnie261@ymail.co.in,Retail,700 Block of 14TH ST,Ronnie,Delivery Boy,800 Block of MARKET ST,MA,29-09-1977,18-07-1992,57138,PAID,COD,23-08-1989,Food and Beverages,Domestic,Express,98,360,300 Block of BUCHANAN ST,2800 Block of BRYANT ST,DELIVERED,3/29/1989,8/23/1989
Sonja,Anne892@hotmail.com,Wholesale,OAKDALE AV / SELBY ST,Anne,Project director,400 Block of SUTTER ST,CT,19-08-2006,07-01-2013,987,PAID,COD,08-11-1977,Luggage,International,Express,431,934,4000 Block of GEARY BL,1000 Block of POTRERO AV,DELIVERED,4/21/1977,11-08-1977
Willie,Kathleen439@outlook.com,Wholesale,100 Block of BROOKDALE AV,Kathleen,Delivery Boy,200 Block of 6TH ST,WV,10-03-2013,12-07-2032,80179,PAID,COD,26-01-2009,Construction,International,Express,745,1383,3100 Block of 23RD ST,GEARY ST / POWELL ST,DELIVERED,01-01-2009,1/26/2009
Max,Jalen33@yahoo.com,Retail,DUNCAN ST / DOUGLASS ST,Jalen,Manager,1400 Block of 19TH AV,NY,25-03-2005,24-09-2019,63810,PAID,CARD PAYMENT,03-08-2001,Home Furnishing,International,Express,871,1274,200 Block of HAHN ST,600 Block of VALENCIA ST,DELIVERED,1/27/2001,08-03-2001
Danielle,Jensen191@ymail.co.in,Internal Goods,500 Block of JOHNFKENNEDY DR,Jensen,Warehouse in charge,1900 Block of UNION ST,OH,24-06-2010,19-11-2026,22261,PAID,CARD PAYMENT,25-12-1992,Industrial Equipments,Domestic,Regular,67,193,CAPP ST / 17TH ST,ALEMANY BL / ELLSWORTH ST,DELIVERED,8/26/1992,12/25/1992
Caitlin,Stanley922@ymail.co.in,Internal Goods,2100 Block of 24TH AV,Stanley,Warehouse in charge,SUTTER ST / LARKIN ST,WV,29-10-1983,30-08-1987,37286,PAID,CARD PAYMENT,17-05-2004,Home Furnishing,Domestic,Express,431,702,4TH ST / HARRISON ST,600 Block of CLAY ST,DELIVERED,5/29/2004,5/17/2004
Enrique,Stanley112@outlook.com,Wholesale,900 Block of MARKET ST,Stanley,Warehouse manager,0 Block of LAGUNA ST,MD,11-11-2013,21-11-2026,73874,PAID,CARD PAYMENT,28-11-2003,Construction,International,Regular,178,646,700 Block of BATTERY ST,0 Block of MARINA BL,DELIVERED,5/18/2003,11/28/2003
Brenda,Pamela639@google.co.in,Retail,CHESTNUT ST / COLUMBUS AV,Pamela,Warehouse manager,0 Block of CHENERY ST,IL,12-06-1975,10-01-1983,20187,NOT PAID,COD,,Home Furnishing,Domestic,Express,180,755,5TH ST / MARKET ST,MONTGOMERY ST / VALLEJO ST,NOT DELIVERED,05-08-1974,
Andre,Isabela532@hotmail.com,Retail,200 Block of 9TH ST,Isabela,Inventory manager,MISSION ST / 13TH ST,NC,14-11-2002,23-12-2022,51038,NOT PAID,COD,,Arts and crafts,Domestic,Express,280,990,2400 Block of MISSION ST,BEACH ST / TAYLOR ST,NOT DELIVERED,07-03-1975,
Eunice,Tiffani333@outlook.com,Internal Goods,700 Block of MARKET ST,Tiffani,Project director,1700 Block of POST ST,NJ,27-11-2016,20-06-2029,89846,NOT PAID,COD,,Hazardous Goods,Domestic,Express,263,965,TARAVAL ST / 17TH AV,EDDY ST / MASON ST,NOT DELIVERED,5/18/1982,
Johnny,Ora822@outlook.com,Retail,300 Block of ATHENS ST,Ora,IT support executive,400 Block of JONES ST,MI,24-06-2002,04-01-2014,59967,NOT PAID,CARD PAYMENT,,Automotive,Domestic,Regular,187,931,19TH ST / SHOTWELL ST,7TH ST / STEVENSON ST,NOT DELIVERED,6/19/2007,
Christa,Crystal579@outlook.com,Internal Goods,27TH AV / LAKE ST,Crystal,IT support executive,0 Block of ADAIR ST,GA,23-11-1995,04-06-2000,59474,PAID,COD,17-01-2012,Arts and crafts,International,Regular,94,361,2300 Block of 14TH AV,0 Block of 12TH ST,DELIVERED,1/25/2012,1/17/2012
Wilbur,Todd405@ymail.co.in,Retail,2400 Block of MARKET ST,Todd,Engineering department manager,6TH ST / MISSION ST,IL,14-05-2011,11-09-2013,77342,NOT PAID,COD,,Fashion,International,Express,906,1297,2100 Block of MISSION ST,1100 Block of FOLSOM ST,NOT DELIVERED,4/17/1983,
Steve,Frederick409@outlook.com,Wholesale,7TH ST / MARKET ST,Frederick,Delivery Boy,TAYLOR ST / ELLIS ST,DE,25-07-2002,12-12-2010,57460,PAID,COD,02-03-2010,Healthcare,International,Regular,71,130,1400 Block of VANDYKE AV,EDDY ST / VANNESS AV,DELIVERED,1/30/2010,03-02-2010
Ronnie,Makala843@ymail.com,Internal Goods,1000 Block of BUSH ST,Makala,Executive director,0 Block of NEWTON ST,CA,25-09-2009,16-03-2023,74930,NOT PAID,COD,,Hazardous Goods,International,Express,253,904,800 Block of MARKET ST,800 Block of MARKET ST,NOT DELIVERED,09-05-1973,
Julie,Wayne473@gmail.com,Internal Goods,1300 Block of HAIGHT ST,Wayne,Warehouse manager,500 Block of CAPP ST,OK,07-05-1980,18-10-1987,89389,NOT PAID,COD,,Home Furnishing,International,Express,591,1433,300 Block of COLLINGWOOD ST,900 Block of MARKET ST,NOT DELIVERED,10/23/2005,
Paola,Bart400@outlook.com,Internal Goods,700 Block of POST ST,Bart,Office manager,11TH ST / MINNA ST,MO,26-10-1972,22-12-1989,86767,NOT PAID,COD,,Automotive,Domestic,Regular,399,835,400 Block of ELLIS ST,17TH ST / SHOTWELL ST,NOT DELIVERED,07-06-1996,
Shemar,Leighann675@gmail.com,Wholesale,1000 Block of INGERSON AV,Leighann,Branch manager,HAIGHT ST / STANYAN ST,FL,15-01-2006,08-05-2020,42257,PAID,COD,17-05-2008,Automotive,International,Express,91,242,21ST ST / POTRERO AV,400 Block of GENEVA AV,DELIVERED,5/21/2008,5/17/2008
Albert,Christina573@hotmail.com,Wholesale,0 Block of STONEYBROOK AV,Christina,Warehouse in charge,2400 Block of SAN BRUNO AV,KS,04-11-2010,27-03-2015,28987,NOT PAID,COD,,Hazardous Goods,International,Regular,717,1297,200 Block of 11TH AV,400 Block of TURK ST,NOT DELIVERED,5/13/1979,
Kyleigh,Edith189@ymail.co.in,Wholesale,3900 Block of MISSION ST,Edith,HR manager,300 Block of 30TH AV,MO,19-05-1997,13-01-2008,38952,PAID,COD,28-08-2010,Food and Beverages,International,Regular,735,1181,17TH ST / FOLSOM ST,400 Block of BRIGHT ST,DELIVERED,07-01-2010,8/28/2010
Julianna,Milburn442@hotmail.com,Retail,300 Block of 6TH AV,Milburn,HR manager,4200 Block of GEARY BL,MT,18-11-1981,20-04-1989,50635,NOT PAID,COD,,Hazardous Goods,Domestic,Express,970,1242,KEITH ST / SHAFTER AV,0 Block of SPOFFORD LN,NOT DELIVERED,07-05-1983,
Michaela,Loren171@gmail.com,Internal Goods,2000 Block of MISSION ST,Loren,Fleet manager,400 Block of HAIGHT ST,OH,06-10-2005,11-04-2021,32800,NOT PAID,COD,,Arts and crafts,Domestic,Regular,80,236,900 Block of LARKIN ST,900 Block of STOCKTON ST,NOT DELIVERED,07-05-1980,
Stefania,Zoie905@gmail.com,Retail,EDDY ST / LARKIN ST,Zoie,Delivery Boy,1200 Block of POLK ST,IL,12-03-1972,27-11-1989,67478,NOT PAID,CARD PAYMENT,,Arts and crafts,Domestic,Express,550,1171,400 Block of TURK ST,MADRID ST / RUSSIA AV,NOT DELIVERED,8/21/1983,
Nigel,Coleman372@yahoo.co.in,Retail,SUTTER ST / FRANKLIN ST,Coleman,Warehouse manager,1500 Block of MARKET ST,NY,11-10-2016,11-08-2027,24449,PAID,COD,25-06-2011,Arts and crafts,International,Express,187,864,0 Block of OFARRELL ST,200 Block of TURK ST,DELIVERED,3/28/2011,6/25/2011
Mavis,Jennifer84@gmail.com,Retail,700 Block of CABRILLO ST,Jennifer,Engineering department manager,FELL ST / STEINER ST,MA,01-11-2016,18-07-2021,3119,PAID,CARD PAYMENT,02-07-2014,Automotive,International,Express,262,875,0 Block of PAYSON ST,0 Block of POWELL ST,DELIVERED,4/30/2014,07-02-2014
